datetime,lon,lat,z,z_mean
2020-02-14 15:55:55,-118.84979761666666,72.02546403333334,12.783783333333332,-13.084983333333334
2020-02-14 15:55:57,-118.8769584,71.96375470000001,137.54675,-13.1708
2020-02-14 15:55:58,-118.90602204,71.89733312,267.31266,-13.314879999999999
2020-02-14 15:55:59,-118.9174081,71.87119955,218.56035,-13.3769
2020-02-14 15:56:00,-118.9327886,71.8358078,56.595,-13.4742
2020-02-14 15:56:01,-118.9451746,71.80721725000001,72.235125,-13.5481
2020-02-14 15:56:02,-118.95694524999999,71.77998554999999,80.591,-13.625399999999999
2020-02-14 15:56:03,-118.969273,71.7513912,35.6838,-13.7071
2020-02-14 15:56:04,-118.99149915999999,71.69964504,14.73788,-13.856379999999998
2020-02-14 15:56:05,-119.0089793,71.6587901,9.1447,-13.9684
2020-02-14 15:56:06,-119.02001623333332,71.6329132,-9.9068,-14.046766666666665
2020-02-14 15:56:07,-119.03160625,71.60567375833334,-13.841166666666666,-14.119675
2020-02-14 15:56:08,-119.04586361666667,71.5720776,-13.918033333333334,-14.225008333333333
2020-02-14 15:56:09,-119.06334027272727,71.53076247272726,-14.089118181818181,-14.350363636363635
2020-02-14 15:56:10,-119.07712199166667,71.49807295833334,-14.124391666666668,-14.454425
2020-02-14 15:56:11,-119.09232084545455,71.4619159,-14.211018181818183,-14.569681818181818
2020-02-14 15:56:12,-119.101149,71.4408652,-14.2308,-14.6346
2020-02-14 15:56:43,-119.839986325,69.5331791,-14.605425,-14.8845
2020-02-14 15:56:44,-119.85231346249999,69.498761425,-14.431975,-14.7509375
2020-02-14 15:56:45,-119.86961738,69.45030338000001,-14.425,-14.547299999999998
2020-02-14 15:56:46,-119.88175594545454,69.4162008,-14.145981818181816,-14.405572727272727
2020-02-14 15:56:47,-119.8973237,69.37233454285715,-13.9175,-14.204157142857143
2020-02-14 15:56:48,-119.9218856,69.30284155000001,144.6707,-13.89895
2020-02-14 15:56:49,-119.93163748333332,69.2751432,253.3801,-13.785649999999999
2020-02-14 15:56:50,-119.9463105,69.2333715,447.911,-13.6473
2020-02-14 17:24:31,25.349875418181817,74.01472977272728,23.146036363636366,22.82400909090909
2020-02-14 17:24:32,25.3291824,74.05315709999999,23.249450000000003,22.86925
2020-02-14 17:24:33,25.2999921,74.10706823333334,23.3107,22.9675
2020-02-14 17:24:34,25.25850205,74.18317396666667,23.4368,23.116733333333332
2020-02-14 17:24:35,25.2336511,74.22847265,23.617350000000002,23.2262
2020-02-14 17:24:36,25.21192575,74.267881,23.57465,23.31185
2020-02-14 17:24:37,25.17045892857143,74.34261675714286,23.78317142857143,23.51545714285714
2020-02-14 17:24:38,25.1446674,74.3888147,23.8663,23.641
2020-02-14 17:24:39,25.113371125,74.4445211,24.114449999999998,23.811075
2020-02-14 17:24:40,25.0820874125,74.499885025,24.226275,23.96715
2020-02-14 17:24:41,25.050382539999998,74.55565368,24.429160000000003,24.12988
2020-02-14 17:24:42,25.0171890375,74.6136607,24.616575,24.2843875
2020-02-14 17:24:43,24.988642666666667,74.66324265,24.826233333333334,24.426466666666666
2020-02-14 17:24:44,24.9492926,74.73115924999999,25.0019,24.60405
2020-02-14 17:24:45,24.92393844,74.77462324000001,25.0782,24.72062
2020-02-14 17:24:46,24.890478018181817,74.83166693636363,25.207009090909093,24.8476
2020-02-14 17:24:47,24.8612234,74.88123795833333,25.337266666666665,24.96460833333333
2020-02-14 17:24:48,24.82908141818182,74.93537414545455,25.411954545454545,25.077727272727273
2020-02-14 17:24:49,24.797112722222224,74.98889697777777,25.535644444444443,25.204
2020-02-14 17:24:50,24.7704181875,75.033330225,25.6272625,25.2976125
2020-02-14 17:24:51,24.733203,75.09488419166667,25.776808333333335,25.442716666666666
2020-02-14 17:24:52,24.69669507777778,75.15485021111111,25.888188888888887,25.56078888888889
2020-02-14 17:24:53,24.664891544444444,75.20674220000001,25.969455555555555,25.659777777777776
2020-02-14 17:24:54,24.629904222222223,75.26345766666667,26.05032222222222,25.745922222222223
2020-02-14 17:24:55,24.601096849999998,75.30988333,26.07017,25.819650000000003
2020-02-14 17:24:56,24.5626837,75.37137298125,26.205962500000002,25.90885625
2020-02-14 17:24:57,24.529555015384613,75.42404656153846,26.239946153846155,25.987515384615385
2020-02-14 17:24:58,24.493222947058822,75.48143011176471,26.3309,26.066811764705882
2020-02-14 17:24:59,24.461443891666665,75.53129769166667,26.417516666666668,26.117033333333335
2020-02-14 17:25:00,24.422681085714284,75.59171782142857,26.431250000000002,26.16357857142857
2020-02-14 17:25:01,24.3894525,75.64315603529411,26.478470588235297,26.17720588235294
2020-02-14 17:25:02,24.354645472222224,75.69669391111111,26.468822222222222,26.186127777777777
2020-02-14 17:25:03,24.30581598421053,75.77115559473684,26.448126315789477,26.174205263157894
2020-02-14 17:25:04,24.25999495,75.840502,26.4129,26.159555555555556
2020-02-14 17:25:05,24.22404129,75.894460425,26.352330000000002,26.14864
2020-02-14 17:25:06,24.187275070000002,75.94925875499999,26.35335,26.13499
2020-02-14 17:25:07,24.146782936842104,76.00917798421052,26.244394736842107,26.120484210526314
2020-02-14 17:25:08,24.12057948888889,76.04772278888889,26.292366666666666,26.11121111111111
2020-02-14 17:25:09,24.052657733333334,76.146715,26.277866666666668,26.08395
2020-02-14 17:25:10,23.9639452625,76.2741645375,26.2264375,26.088775
2020-02-14 17:25:12,23.8669816,76.411078,26.3619,26.1735
2020-02-14 17:25:13,23.8572869,76.4246322,26.3849,26.1899
2020-02-14 17:26:23,19.660674914285714,80.60577004285715,27.3783,28.11797142857143
2020-02-14 17:26:24,19.554635633333334,80.67967728333333,28.277716666666667,28.212091666666666
2020-02-14 17:26:25,19.400483299999998,80.78524245999999,28.614839999999997,28.3978
2020-02-14 17:26:27,19.2389848,80.8933321,29.0108,28.5585
2020-02-14 17:34:18,-144.4451924375,70.2096968625,-2.40614375,-2.58659375
2020-02-14 17:34:19,-144.46650516923077,70.15321782307693,-2.2398076923076924,-2.528084615384615
2020-02-14 17:34:20,-144.49590885,70.07487881428571,-2.1143,-2.3264785714285714
2020-02-14 17:34:21,-144.51943281176472,70.01185677058822,-1.4801235294117647,-2.078417647058824
2020-02-14 17:34:22,-144.536996275,69.96460935,-0.04005000000000002,-1.8594
2020-02-14 17:34:23,-144.56144605,69.89853339999999,113.94815,-1.5538500000000002
2020-02-14 17:34:24,-144.5785105,69.8522114,71.4127,-1.38
2020-02-14 19:03:14,1.392857225,72.17055373333334,49.2055,48.841483333333336
2020-02-14 19:03:15,1.3787254285714285,72.20207672857143,49.131185714285714,48.79647142857143
2020-02-14 19:03:16,1.35839624,72.2472511,49.01464,48.716840000000005
2020-02-14 19:03:17,1.341927825,72.28371635,49.015375,48.678775
2020-02-14 19:03:18,1.3256504,72.3196368,48.99006,48.69918
2020-02-14 19:03:19,1.3054732,72.36399175,49.2029,48.7707
2020-02-14 19:03:20,1.28321788,72.41269958000001,49.321839999999995,48.89284
2020-02-14 19:03:21,1.2687427333333334,72.44426345,49.41408333333334,48.96293333333333
